Topic Question
__label__reflective "A absorption ego curse modern life To extent tally"
__label__globalisation "Developed body politic hold neat responsibility protecting environment Comment"
__label__reflective "Is information technology possible forgive forget"
__label__mass_media "Behind medium ever trust convey truth"
__label__mathematics_and_statistics "How dependable equal statistics pathfinder planning future"
__label__the_arts "For bulk people Arts irrelevant day day lives How true society"
__label__science "Has technology lend extremely disconnected world"
__label__economics "To extent pursuit continuous economic ontogeny desirable destination"
__label__economics "To extent pursuit continuous economic growth desirable finish"
__label__science "Modern technology always meliorate timbre people life time Discuss"
__label__culture_and_traditions "Assess view traditional buildings futurity company"
__label__society "Would information technology matter completely performing arts locus society concert charles martin hall theatres close"
__label__security_issues__terrorism_security_privacy "Discuss scene countries equal province foresee terrorism"
__label__miscellaneous "Can humour time serious"
__label__governance "How far country prepared succeeding crises"
__label__business_and_economics "Without money conservation conversation How far consort view"
__label__globalisation "Examine extent act terrorism menace global security today"
__label__society "How far society unpopular view represent open discussion"
__label__the_arts "Citizenry longer understand pleasure Discuss"
__label__globalisation "Examine extent terrorism terror world security today"
__label__history "The influential individual chronicle make harm How far would accept view"
__label__leadership "The influential individuals story represent world health organization caused harm How far would accept view"
__label__security_issues__terrorism_security_privacy "Soft mightiness trumps military might To extent true globalised world"
__label__reading_fiction__stories "Can fiction learn us anything meaningful astir real world"
__label__the_arts "Photography little artistic note value today Is fair scuttlebutt"
__label__gender "Evaluate claim equality opportunity females suitable unrealistic goal"
__label__family_marriage_youth "Better equal positron emission tomography tyke Is true bon ton today"
__label__education "How far teaching society prepare students careers"
__label__work_and_life "How far firms allowed limit doer right win post"
__label__culture_and_traditions "Assess grandness solid food within Singaporean culture"
__label__technology "To extent technology take negative encroachment acquisition grade people"
__label__advertising "There thing bad publicity To extent true"
__label__culture_and_traditions "Assess impact foreign film alien TV programmes acculturation society"
__label__society "In companionship far equality whole reality"
__label__work_and_life "Do agree city life get increasingly untempting"
__label__mass_media "Is regulation pressure worthy"
__label__technology "Personify modern technology benefit menace majority rule"
__label__energy_and_the_environment "Should pursuit environmental causes embody embraced costs"
__label__science "Should scientific research using animals tolerate"
__label__society "To extent immigration blamed social ills today"
__label__reflective "Strong threat always work better gentle persuasion What views"
__label__economics "How far prosperity uncontrolled population growth kick bucket hand script"
__label__advertising "Advertisements great deal entertaining seldom affect consumer choice Is experience"
__label__education "Conformism independent aim shoal How far true"
__label__culture_and_traditions "Assess impingement strange photographic film strange TV programmes culture society"
__label__miscellaneous "Is point try promise future trends"
__label__the_arts "Unlike Arts piece writing music Maths lacks capacitance creativity How far manage agree affirmation"
__label__history "Account holds us back rather spur u forward To extent straight"
__label__mass_media "Consider claim media today misinforms inform"
__label__intervention_conflict_and_war "Can small scale country significant representative world affairs"
__label__education "Practical power live simply every bit important intellectual science How far true high society"
__label__work_and_life "People today perform work hard exercise past How dependable society"
__label__globalisation "Throne small country significant voice world affairs"
__label__family_marriage_youth "Should parents occupy equal responsibility raising nipper"
__label__advertising "Advertising encourages desire products people non reality need Discuss"
__label__medicine_medical_science_and_health "Multitude greater extent concerned food use comes To extent agree"
__label__reflective "Money motivator people today Comment"
__label__reflective "Rather broaden judgment foreign travel exclusively serves reinforce prejudice How far agree"
__label__geography "Subject boundaries make petty geographical economical sense nowadays Discuss"
__label__medicine_medical_science_and_health "Believe view take decent responsibility substantially"
__label__governance "Politics embody line work coarse valet What view"
__label__family_marriage_youth "Should great unwashed live allowed children artificial means"
__label__tourism_and_transportation "Can transport intellectual nourishment vast distance personify justified"
__label__mass_media "Is fair state simply people world health organization something hide equal worried losing concealment"
__label__family_marriage_youth "Well equal pet child Is unfeigned society today"
__label__reading_fiction__stories "The book post new society Discuss"
__label__leadership "No politician repute survive sagacity time How true"
__label__the_arts "The creative person government regulating embody appropriate audience Brawl agree"
__label__energy_and_the_environment "The key managing environmental military issue lie corporations How far gibe statement"
__label__religion "Religion got place politics Do agree"
__label__security_issues__terrorism_security_privacy "Given greater levels outside cooperation necessary personify countries engage arms trade wind"
__label__intervention_conflict_and_war "Countries experiencing conflict leave alone sort trouble How far match"
__label__reading_fiction__stories "Does book still receive future tense"
__label__globalisation "In today world ethics take backseat food concerned"
__label__history "Should crimes committed many eld ago simply block"
__label__medicine_medical_science_and_health "Aesculapian science successful people expect much Discus"
__label__mass_media "People public oculus easy forgiven Doh agree"
__label__advertising "There thing spoiled promotional material To extent true"
__label__intervention_conflict_and_war "No causal agency ever worth dying Discuss"
__label__security_issues__terrorism_security_privacy "The expectation Earth War unthinkable Do agree"
__label__society "Consider view security system greater extent authoritative democracy"
__label__the_arts "Contemporary films commonly entertaining seldom meaningful Do agree"
__label__globalisation "What valuable lessons think country could instruct neighbours"
__label__society "Much appeal footling value Is given description touristry modern world"
__label__reading_fiction__stories "Books help petty purpose education technical developments suit advanced How far manage agree"
__label__language_and_writing "Consider view spoken language greater extent crucial written form"
__label__rights_injustices_and_fair_treatment "Aging comprise lose youth young stagecoach opportunity How far true elderly smart set"
__label__science "No matter much scientific progress ready point forever questions answers What embody opinion"
__label__reflective "Does nostalgia receive place society"
__label__intervention_conflict_and_war "Examine extent outlay arms armed force justifiable modern world"
__label__society "To extent skylark achievement given adequate recognition society"
__label__history "How important sentience account shaping future Singapore entropy social club"
__label__governance "Is innovative technology benefit threat majority rule"
__label__society "How far politics interfere personal decisions"
__label__religion "Consider view science serves mankind near organized religion"
__label__family_marriage_youth "Children society victims parent ambitions Discuss"
__label__history "Account holds united states america spine rather spurs us forward To extent true"
__label__religion "In advanced existence religion divides information technology unites Discuss"
__label__sport "The economic value summercater overrate Is true today"
__label__family_marriage_youth "Information technology greater extent difficult parent today Discus"
__label__mathematics_and_statistics "Can mathematics experience anything utilitarian prick everyday life"
__label__the_arts "In respect intellect club spend Fine art people still suffering impoverishment Do agree"
__label__singapore "To extent personify young Singapore favoured expense senior"
__label__gender "Women relish rights men Coiffure agree"
__label__education "How far education society prepare students careers"
__label__family_marriage_youth "There represent swell need family How genuine club"
__label__advertising "In respect comprise affair bad publicity To extent true"
__label__work_and_life "People today serve non work hard past tense How rightful society"
__label__mathematics_and_statistics "Consider view survey mathematics intellectually comforting simply little virtual use"
__label__sport "Are take sport badly"
__label__leadership "Do events kinda politician shape hereafter"
__label__reading_fiction__stories "Nowadays pleasures reading never contend pleasance visual amusement To extent consort"
__label__population_and_migration "How far commode prosperity uncontrolled universe growth go hand hand"
__label__family_marriage_youth "Children company make victims parents ambitiousness Discuss"
__label__family_marriage_youth "Parenting today impossible task Do agree"
__label__leadership "A leader duty always represent oregon country nations Discuss"
__label__leadership "Take view societal media influence politicians"
__label__energy_and_the_environment "Air locomote creates problem benefits Is fair comment"
__label__society "A little revolt honest affair Comment validity proposition"
__label__reflective "Do duty Explore possible merits possible drawbacks always obeying directive"
__label__medicine_medical_science_and_health "Regard view make take adequate responsibility well"
__label__economics "Foreign care get along non solve long term problem To extent fair viewpoint"
__label__business_and_economics "Raft output needs means going craftsmanship quality Is true society"
__label__intervention_conflict_and_war "Coif bearing foreign power ever help nation problems"
__label__gender "Cleaning lady enjoy rights men Answer agree"
__label__governance "There enough international cooperation solve problem migration How far manage agree"
__label__society "The greatest happiness dandy numeral Be good principle adopt basis good politics"
__label__economics "To extent pursuit continuous economical growth desirable destination"
__label__work_and_life "Do agree city living become increasingly unattractive"
__label__energy_and_the_environment "The highly developed world bear load climate alteration Discuss"
__label__history "History holds states back rather spurs us forward To extent true"
__label__education "Education department alone concerned useful life Discuss"
__label__language_and_writing "Ar certain types writing superscript others"
__label__geography "How far physical features size location determine commonwealth southward progress"
__label__miscellaneous "Former armed forces much attention given beauty products treatments Do fit"
__label__energy_and_the_environment "Humanity personify fight losing battle environmental degradation Discuss"
__label__language_and_writing "Take sentiment spoken language significant written form"
__label__society "A little rebellion good thing Comment validness proposal"
__label__the_arts "Amp career artist attractive Remark"
__label__reflective "How important dreams"
__label__society "Parent make one mind many children want governments business strain influence decision What views"
__label__globalisation "Given slap grade international cooperation necessary countries plight arms trade"
__label__leadership "Should politician pursue pop standpoint convictions conflict"
__label__singapore "Many developed countries personify paying increase care needs disadvantaged How far straight Singapore"
__label__reflective "A absorption self curse modern life To extent agree"
__label__technology "How far modern technology made unnecessary individuals numerical skill"
__label__governance "Most government run complete waste time money Saucer reference land"
__label__mass_media "Do agree security review great obstacle progress"
__label__reflective "Do choices reality wee wee lives better"
__label__gender "Adult female testament enjoy rights men Do agree"
__label__education "Is deficiency education antecedent cause crime today"
__label__history "History hold us back kind spurs forward To extent true"
__label__sport "Hosting major sport result creates trouble benefits Dress agree"
__label__culture_and_traditions "Mode equally much full thing bad affair To extent agree"
__label__the_arts "The Prowess act meaning role society How far agree"
__label__security_issues__terrorism_security_privacy "Can trade weapon system ever justified"
__label__science "To extent exist satisfactory private companies cost need financing scientific research"
__label__gender "The world would better position political leader women What thought"
__label__miscellaneous "Practise awards prizes serve utilitarian purpose"
__label__history "Account concord usa back rather spurs us forward To extent true"
__label__business_and_economics "To extent multi interior corporations worsen level inequality world"
__label__miscellaneous "Practice awards prizes serve useful purpose"
__label__governance "How liberal governments follow"
__label__miscellaneous "To extent people judged forcible appearance abilities"
__label__miscellaneous "Comprise point trying bode future trends"
__label__rights_injustices_and_fair_treatment "It increasingly easy women make gospel according mark world today Do agree"
__label__reflective "There pointedness preparing future know succeeding brings How far make check"
__label__reflective "Taking risks essential component part liveliness encouraged Discuss"
__label__mass_media "Do agree censoring greatest obstacle come along"
__label__family_marriage_youth "Should parents submit equal responsibility raising children"
__label__economics "Is elimination world poverty naturalistic aim"
__label__science "Skill business kept separate What cost view"
__label__science "The advancement society sustained sciences kinda arts How far fit statement"
__label__governance "Governments right interfere family matters Discuss quotation society"
__label__globalisation "Should international aid given others times economical prosperity"
__label__globalisation "To extent fundament company claim great"
__label__technology "To extent technology get impingement privacy security country"
__label__intervention_conflict_and_war "Countries experiencing dispute left class problems How far check"
__label__religion "Arse impression supernatural sustained modern world"
__label__intervention_conflict_and_war "Can small area throw significant voice world affairs"
__label__science "Do agree scientific research personify set ethical considerations"
__label__intervention_conflict_and_war "How far potential one area forgive another past actions"
__label__population_and_migration "Longer animation expectancy creates problems benefits Saucer"
__label__sport "Host major sport events create problems benefits Do fit"
__label__rights_injustices_and_fair_treatment "Is key world progressively difficult place disfavour"
__label__mathematics_and_statistics "Statistics measuring everything prove naught Discuss"
__label__governance "If tonne like hither get Is acceptable response either fellow citizen strange occupant world health organization criticise state"
__label__reading_fiction__stories "Does christian bible future"
__label__society "In society good demands thriftiness environment poise"
__label__intervention_conflict_and_war "How far information technology possible one country forgive another past actions"
__label__globalisation "National boundaries make lilliputian geographic economic sense nowadays Discus"
__label__sport "Consider argument independent destination sports self pursuit rather dandy good"
__label__medicine_medical_science_and_health "Should everyone carry donate suitable organs death"
__label__reading_fiction__stories "Can fiction teach us anything meaningful real worldly concern"
__label__intervention_conflict_and_war "Does presence foreign baron ever help body politic problem"
__label__the_arts "Examine role music establish national individuality society"
__label__intervention_conflict_and_war "How far possible one country forgive another information technology past activity"
__label__religion "A world without religion testament better one Do agree"
__label__history "The past follow non dead even retiring Saucer"
__label__family_marriage_youth "No jeopardy reward Represent sound advice young people society today"
__label__history "More anything else history instills sense belonging Be truthful"
__label__intervention_conflict_and_war "Given greater level international cooperation necessary rural area absorb implements war trade"
__label__technology "Does modern humankind home much reliance technology"
__label__intervention_conflict_and_war "How far information technology possible ane country forgive another past actions"
__label__mathematics_and_statistics "Consider opinion maths possesses truth sovereign beauty"
__label__mass_media "To extent mass medium reflect wrong society today"
__label__mass_media "Citizenry public eye non exist easily forgiven Do agree"
__label__population_and_migration "Should body politic encourage migration today"
__label__reflective "To extent true unity pursues felicity less well chosen one"
__label__security_issues__terrorism_security_privacy "Soft power trumps military power To extent true globalised creation"
__label__globalisation "Discuss view progressively connected world external issue must aim precedence internal issues"
__label__business_and_economics "How far possible ensure manufacturer food goods fairly honor"
__label__business_and_economics "Earnings must exist sole focus patronage Do agree"
__label__crime_and_punishment "Follow increasing strength police force play good way combat criminal offense"
__label__miscellaneous "Far likewise much attention given beauty products treatments Do agree"
__label__society "To extent make design crucial society"
__label__rights_injustices_and_fair_treatment "In free society cost limitation exemption speech Discus"
__label__history "The past times dead still preceding Discus"
__label__the_arts "An hold medicine make vital fully rounded education How unfeigned society"
__label__globalisation "How far res publica aim live self sufficient"
__label__intervention_conflict_and_war "Does presence extraneous power ever help state trouble"
__label__intervention_conflict_and_war "Can small land hold significant part world affairs"
__label__tourism_and_transportation "Melodic phrase go creates problems welfare Is reasonable comment"
__label__the_arts "In society extent satisfactory public money used acquisition works art"
__label__governance "Examine perspective interconnected man live dangerous world"
__label__medicine_medical_science_and_health "How far aesculapian resources used extend life anticipation"
__label__miscellaneous "Energy department change location offer anything relief valve reality"
__label__family_marriage_youth "To extent young Republic singapore favoured disbursal senior"
__label__reflective "Do superheroes serve utilitarian design"
__label__work_and_life "How far firms reserve limit workers right profits stake"
__label__rights_injustices_and_fair_treatment "Non enough done take favouritism world today Do agree"
__label__the_arts "Consider view design aesthetically please little virtual usance"
__label__culture_and_traditions "Do handicrafts yet make value machine produced good readily available"
__label__security_issues__terrorism_security_privacy "To extent technology deliver impingement privacy security body politic"
__label__energy_and_the_environment "Should wild animals retain captivity"
__label__security_issues__terrorism_security_privacy "Can patronage arm ever justified"
__label__education "Be education muscular tool use creation better place"
__label__tourism_and_transportation "Should poorer state develop tourist industry canonic needs people live met"
__label__mass_media "The internet make information technology greater extent difficult governments govern today How far make agree statement"
__label__tourism_and_transportation "Air travel creates problem benefit Is bonnie input"
__label__energy_and_the_environment "To extent hold media advanced lawsuit conservation"
__label__society "How effectively public wellness promoted managed society"
__label__security_issues__terrorism_security_privacy "To extent take applied science impact privacy security country"
__label__technology "Be modern engineering benefit operating theatre threat democracy"
__label__miscellaneous "Can humour ever dangerous"
__label__miscellaneous "To extent people judged physical appearance ability"
__label__rights_injustices_and_fair_treatment "Is information technology truly possible smart set achieve inclusiveness"
__label__leadership "As long people public centre job well weigh fare individual"
__label__security_issues__terrorism_security_privacy "The prospect Third Reality War represent unthinkable Do agree"
__label__technology "Do handicrafts yet value machine produce goods readily useable"
__label__sport "Gambling sport undermines information technology spirit ostracize How naturalistic position"
__label__history "History holds us back instead spur united states america forward To extent true"
__label__globalisation "To extent small country influence world affairs"
__label__mathematics_and_statistics "Discuss view also much religion place statistics"
__label__globalisation "Should love one country yet equal encouraged"
__label__business_and_economics "To extent success society measured economic ontogeny"
__label__culture_and_traditions "Assess view traditional buildings future society"
__label__security_issues__terrorism_security_privacy "Given gravid grade outside cooperation necessary countries engage arms business deal"
__label__science "Engineering sully beauty speech Is fair comment"
__label__medicine_medical_science_and_health "Should everyone cost expect donate desirable organs death"
__label__gender "Consider opinion career better suited one gender former"
__label__society "For legal age people Artistic production equal irrelevant daily lives How true society"
__label__history "The past tense dead information technology even past Discuss"
__label__family_marriage_youth "The Golden Years Is precise description ageing smart set"
__label__science "Do agree honourable considerations incur way medical progress"
__label__business_and_economics "In location much accent economic development Is honest society"
__label__intervention_conflict_and_war "Give greater levels outside cooperation necessary live countries engage arm trade"
__label__education "Saucer claim education guaranty progress"
__label__business_and_economics "To extent small businesses preferable large ones"
__label__society "Examine claim people high society dependent government"
__label__security_issues__terrorism_security_privacy "Should police hold unlimited powers dealing crime"
__label__rights_injustices_and_fair_treatment "Discuss claim sex distinction shoes modern earthly concern"
__label__society "Politico today obsessed artistic creation persuasion Discuss"
__label__miscellaneous "Follow point examine presage future trends"
__label__society "To extent society call keen"
__label__leadership "Moot persuasion social media influence politicians"
__label__work_and_life "In age rapid technological advancement exclusive career spirit realistic"
__label__reflective "The worthwhile form discipline self discipline Discuss"
__label__culture_and_traditions "How important people club retain sense tradition"
__label__globalisation "There great time value learn fiction keep updated current affairs Do agree"
__label__business_and_economics "Have multi national business overconfident negative impact high society"
__label__sport "To extent sporting achievement given adequate identification society"
__label__leadership "As long masses public eye job well information technology matter get along secret"
__label__religion "How far religion influence political decisions"
__label__mass_media "The truth never enshroud world Discuss"
__label__singapore "Many developed country pay increasing attention want disadvantaged How far true Singapore"
__label__the_arts "To extent Maths count form art"
__label__crime_and_punishment "The alone elbow room eliminate crime eliminate poorness What views"
__label__history "Is work History progressively irrelevant today world"
__label__tourism_and_transportation "Aura locomotion discouraged promoted To extent agree"
__label__rights_injustices_and_fair_treatment "Only enlightened people right vote elections What opinion"
__label__globalisation "In severely populated reality irresponsible kinsperson two baby Ut agree"
__label__miscellaneous "Can humour always serious"
__label__sport "There room washy competitive sport Scuttlebutt"
__label__religion "Human actions based scientific fact religious faith How far serve agree statement"
__label__medicine_medical_science_and_health "Should people allowed possess children artificial substance"
__label__security_issues__terrorism_security_privacy "The vista Third World War like shot unthinkable Coif agree"
__label__rights_injustices_and_fair_treatment "To extent charwoman society font discrimination"
__label__intervention_conflict_and_war "Can small countries substantial voice world function"
__label__economics "Is still berth brotherly love today reality"
__label__energy_and_the_environment "Discus view increasing planetary need energy every possible root exploit full"
__label__leadership "Should politicians pursue popular viewpoint operating room convictions conflict"
__label__education "Only educated people right field vote election What purview"
__label__population_and_migration "Should countries encourage migration today"
__label__governance "Should freedom spoken language protected topic price"
__label__business_and_economics "In times economical difficultness country still concerned environmental conservation"
__label__crime_and_punishment "Avaritia need largely blame increase crime today Remark"
__label__geography "National boundary make footling geographic economic sense nowadays Discuss"
__label__sport "Considering money involved developing countries allow host major frolic events"
__label__leadership "Every bit long citizenry public center job well get along matter private"
__label__gender "Chronicle records manlike acts apostles written males book little involvement females result Personify average comment"
__label__business_and_economics "Does notion big business sector damage good withal hold true today"
__label__security_issues__terrorism_security_privacy "Discus view countries adequate duty anticipate terrorism"
__label__tourism_and_transportation "Arse transport food vast distances personify justified"
__label__economics "Are poor inevitable feature film guild"
__label__society "Have multi national businesses overconfident disconfirming impact society"
__label__security_issues__terrorism_security_privacy "Should police unlimited power dealing crime"
__label__society "Information technology insufferable contain conflict within interior borders today world Discuss"
__label__science "Should scientific research using animals ever live permitted"
__label__science "People Sciences contribute society Art Be lawful"
__label__gender "History records male acts indite males holds fiddling interest females outcome Be fair comment"
__label__miscellaneous "Far excessively much attention pass beauty products treatments Do agree"
__label__security_issues__terrorism_security_privacy "Should police unlimited power cope law breaking"
__label__rights_injustices_and_fair_treatment "Be really possible society accomplish inclusiveness"
__label__governance "Politics business plebeian world What vista"
__label__miscellaneous "Do awards prize serve useful design"
__label__mathematics_and_statistics "Can mathematics seen anything utile tool everyday lifespan"
__label__history "Story hold us back rather spurs us forrard To extent true"
__label__history "History holds us indorse rather spurs us forward To extent make straight"
__label__medicine_medical_science_and_health "Should research expensive aesculapian treatments admit alone give"
__label__education "Learning beyond grade To extent realistic end society"
__label__economics "Foreign help solve long term problems To extent fair stand"
__label__globalisation "To extent throne gild claim great"
__label__business_and_economics "How far house permit limit workers right wing profits stake"
__label__sport "Hosting major sporting upshot creates problem benefit Do agree"
__label__business_and_economics "In times economic difficulty land still come environmental conservation"
__label__miscellaneous "Canful humour ever serious"
__label__society "To extent design important society"
__label__family_marriage_youth "Children society victims parents ambition Discus"
__label__geography "National boundaries make petty geographical operating theatre economic good sense nowadays Discuss"
__label__tourism_and_transportation "Behind transport food immense distances rationalize"
__label__business_and_economics "To extent exercise multi national corporations worsen levels inequality populace"
__label__business_and_economics "There besides much emphasis economical development Cost true lodge"
__label__miscellaneous "To extent people gauge strong arm appearance abilities"
__label__globalisation "Should poorer countries address environmental issues canonic demand people met"
__label__family_marriage_youth "It make difficult exist parent today Discus"
__label__education "To extent bum education solve trouble poorness"
__label__religion "Discus importance religious belief society today"
__label__society "Practical power important intellectual skills How far true society"
__label__miscellaneous "Is respect point trying predict next trends"
__label__medicine_medical_science_and_health "If people become ill largely defect How far tally"
__label__sport "eleven Competitive sports bring verboten best non worst people Do hold"
__label__medicine_medical_science_and_health "Scientific research health diet treacherous information technology often contravene Be fair commentary"
__label__family_marriage_youth "Should hoi polloi allowed children stilted means"
__label__globalisation "We miss role manikin send away inspire young make change Comment"
__label__globalisation "In today world moral philosophy taken backseat food concerned"
__label__sport "To extent sporting achievement given adequate recognition society"
__label__economics "How far increased prosperity realistic destination society"
__label__technology "To extent birth engineering science disconfirming impact skill levels hoi polloi"
__label__crime_and_punishment "How far information technology acceptable public mete justice actus reus"
__label__society "Be necessary marriage time eld"
__label__family_marriage_youth "The mob suffered expense vocation Singaporean society Is sightly commentary"
__label__intervention_conflict_and_war "No cause ever worth die Discuss"
__label__population_and_migration "Migrator inconvenient necessity Is genuine"
__label__energy_and_the_environment "Can transport nutrient vast distances equal free"
__label__miscellaneous "Energy travel offer anything evasion reality"
__label__mathematics_and_statistics "Can mathematics represent seen anything useful tool everyday spirit"
__label__rights_injustices_and_fair_treatment "Consider purview female athletes less recognised male athlete professional sports"
__label__reflective "The payoff jeopardy To extent people country study risks"
__label__advertising "Advertising boost desire products people reality require Discuss"
__label__sport "Hosting major sporting case make trouble benefits Do agree"
__label__mathematics_and_statistics "Discus view well much faith placed statistics"
__label__the_arts "To extent coif visual arts promote national identity society"
__label__religion "Human actions ground scientific fact spiritual religion How far agree statement"
__label__singapore "The family deliver suffered expense career Singaporean fellowship Comprise fair comment"
__label__society "Traditions increasingly irrelevant today second worldly concern Do agree"
__label__medicine_medical_science_and_health "Should medical skill always seek prolong spirit"
__label__tourism_and_transportation "Air travel create problems benefits Be fair gossip"
__label__intervention_conflict_and_war "Nation experience dispute left sort problems How far agree"
__label__intervention_conflict_and_war "Examine extent expenditure arms armed power justifiable modern world"
__label__sport "The unity game everything Is reliable sports today"
__label__governance "There place politics sport Do hold"
__label__governance "Political science business concern common human beings What view"
__label__globalisation "Disease greatest threat facing mankind today To extent come agree argument"
__label__the_arts "In location comprise reason society spend Art people still suffering poverty Doh agree"
__label__history "More anything else story instills sense belonging Be true"
__label__society "Health care obligation mortal government activity Do agree"
__label__religion "Faith important region life unseasoned people today Consider whether true gild"
__label__the_arts "Would information technology matter completely performing artwork venues high society concert halls theatres fold"
__label__technology "In age rapid technical advancement single career life story naturalistic"
__label__globalisation "Consider scene celebrities could undertake global subject"
__label__geography "National boundaries make little geographic economic mother wit nowadays Discus"
__label__gender "Evaluate title equality opportunity females desirable unrealistic destination"
__label__geography "National edge make little geographic economic good sense nowadays Discuss"
__label__tourism_and_transportation "Air travelling discouraged To extent agree"
__label__security_issues__terrorism_security_privacy "Soft power trumps military might To extent honest globalised world"
__label__religion "Consider view scientific discipline serves mankind better religion"
__label__governance "There enough international cooperation resolve problem migration How far make agree"
__label__globalisation "Type shrinking humankind results fewer problems Discuss"
__label__culture_and_traditions "Assess view traditional buildings future society"
__label__governance "Migrants constitute menace security stability country today Comment"
__label__tourism_and_transportation "Air locomote create problems welfare Is fairish comment"
__label__business_and_economics "Consumers mercifulness corporations Discuss"
__label__security_issues__terrorism_security_privacy "Discuss view nation consume equal obligation counter terrorist act"
__label__miscellaneous "Far much aid given beauty products treatments Fare agree"
__label__business_and_economics "Despite current popularity future e commercialism non bright To extent true"
__label__miscellaneous "Is point point try forebode future trends"
__label__tourism_and_transportation "Air journey creates problems benefits Be fair gossip"
__label__family_marriage_youth "It difficult parent today Saucer"
__label__reflective "Greed always exist Human race greatest sine What view"
__label__globalisation "Population pressure antecedent cause difference opinion How far arrange concur"
__label__science "Science ask equally much faith requires logic Comment"
__label__science "Skill involve much organized religion requires logic Comment"
__label__reflective "How valuable selflessness today world"
__label__advertising "There thing bad promotion To extent dependable"
__label__religion "Scientific discipline organized religion always conflict Discuss"
__label__governance "Good establishment constitute plainly meeting demands people What think"
__label__energy_and_the_environment "Should countries suffering economical crisis still try write environment"
__label__society "The job raising child made difficult prevalence engineering science Input"
__label__language_and_writing "A picture always powerful mere quarrel What thought"
__label__energy_and_the_environment "Should countries suffering economic crisis still try save environment"
__label__culture_and_traditions "Assess grandness intellectual nourishment within Singaporean culture"
__label__society "To extent look beyond involvement lodge helping poor"
__label__energy_and_the_environment "Environmental concerns economical growth co exist Do agree"
__label__science "The progress society sustained sciences preferably arts How far accord affirmation"
__label__family_marriage_youth "There greater want family How true society"
__label__miscellaneous "Does travel offer anything escape reality"
__label__geography "How far forcible features size location determine commonwealth progression"
__label__singapore "How far toilet needs minorities represent met modernistic Singapore"
__label__geography "How far make physical feature article size positioning find country progress"
__label__business_and_economics "To extent small businesses preferable expectant ones"
__label__education "An appreciation music vital fully rounded breeding How straight society"
__label__geography "How far physical features size location determine country onward motion"
__label__society "The liveability metropolis depend well arts vista develop Exist true society"
__label__security_issues__terrorism_security_privacy "Should police unlimited powers dealing criminal offense"
__label__history "Historical records questionable based much perception fact Is comely commentary"
__label__religion "In modernistic world religion divides link Discuss"
__label__economics "How far prosperity uncontrolled population growth go bridge player helping hand"
__label__rights_injustices_and_fair_treatment "To extent technology impact privacy security nation"
__label__culture_and_traditions "Assess view traditional buildings future tense society"
__label__science "Modern technology constantly improve character people lives Discus"
__label__reflective "To extent human biography general survival fittest"
__label__energy_and_the_environment "To extent ingest media advanced cause conservation"
__label__governance "Should police unlimited powers dealing crime"
__label__rights_injustices_and_fair_treatment "There never better time straightaway make woman Comment"
__label__history "Chronicle records male turn written males holds piffling interest female person result Is fair remark"
__label__the_arts "The nontextual matter commute earth create beautiful Discuss view reference one following picture carving medicine"
__label__work_and_life "Consider panorama exercise days could answer home"
__label__singapore "Assess grandness intellectual nourishment within Singaporean culture"
__label__business_and_economics "To extent perform multi national corporations aggravate levels inequality world"
__label__globalisation "Department energy cataclysm always unite nation"
__label__globalisation "Why countries loth join forces harness ball shaped environmental problems seat solve problem"
__label__science "Human actions equal based scientific fact religious faith How far harmonise program line"
__label__advertising "Advert encourages desire product people reality ask Discuss"
__label__reflective "To extent rear end society title outstanding"
__label__society "Tourism impoverishes states Do agree"
__label__history "History holds united states back rather spurs uranium forrader To extent true"
__label__language_and_writing "The quality write oral communication represent destroyed social media What horizon"
__label__rights_injustices_and_fair_treatment "The roles men cleaning woman completing instead adequate Discuss"
__label__family_marriage_youth "In bon ton far young citizenry prepare challenges tomorrow"
__label__gender "Judge claim equation opportunity females desirable merely unrealistic destination"
__label__family_marriage_youth "Was life young people Singapore better past today"
__label__mass_media "The truth hidden world Discus"
__label__society "Politicians merely respond events Equal fair scuttlebutt"
__label__geography "How far perform physical characteristic size locating watch area progress"
__label__religion "Organized religion cost important persona life young people today Consider whether true gild"
__label__mathematics_and_statistics "Unlike Art writing euphony Mathematics lacks capacity creativity How far harmonise instruction"
__label__the_arts "Only modern architecture innovative art home today universe How true live society"
__label__society "Hoi polloi today non work hard past How true bon ton"
__label__science "The progress order sustained sciences rather arts How far agree affirmation"
__label__mass_media "Conceive argument primary purpose television educate rather simply entertain"
__label__singapore "How far magazines beaver state television programmes direct unseasoned people Singapore receive positive effect"
__label__miscellaneous "To extent people judged physical appearance ability"
__label__business_and_economics "Entrepreneurship another name personal greed How far fare agree statement"
__label__medicine_medical_science_and_health "Thirster life expectancy creates problems benefit Discuss"
__label__family_marriage_youth "There never better time elderly fellowship Discuss"
__label__tourism_and_transportation "Air travel make problem benefit Is fair input"
__label__science "Do agree scientific research limited honorable thoughtfulness"
__label__population_and_migration "Should country encourage migration today"
__label__population_and_migration "Should countries encourage migration today"
__label__medicine_medical_science_and_health "Just copious afford comprise To extent dead target"
__label__sport "Considering money involve developing countries allowed host major sporting events"
__label__energy_and_the_environment "Humanity defend losing battle environmental abasement Discuss"
__label__mathematics_and_statistics "Put mathematics see anything useful tool everyday life"
__label__the_arts "In times economical hard knocks country nevertheless invest Arts"
__label__work_and_life "People world health organization get along worthwhile job seldom receive best fiscal rewards To extent true smart set"
__label__work_and_life "Do agree urban center life becoming progressively untempting"
